formula,x,exp_gap,source
CsPbBr3,2.29,0.02,https://pubs.acs.org/doi/10.1021/acsami.2c09275
CsPbBr3,2.07,0.02,https://pubs.acs.org/doi/full/10.1021/acs.jpclett.2c01369
CsPbBr3,2.38,0.01,https://pubs.acs.org/doi/full/10.1021/acs.jpclett.2c01369
CsPbBr3,2.25,,https://www.sciencedirect.com/science/article/abs/pii/S0030402619306009
CsPbBr3,2.31,,https://www.sciencedirect.com/science/article/abs/pii/S0925838820318477
CsPbI3,1.63,0.03,https://pubmed.ncbi.nlm.nih.gov/31284714/
CsPbI3,1.73,,https://pubs.acs.org/doi/full/10.1021/acsami.8b14551
CsSnBr3,1.75,,https://www.sciencedirect.com/science/article/pii/S2542435119300056
CsSnBr3,1.8,,https://www.sciencedirect.com/science/article/pii/S2542435119300056
CsSnCl3,2.8,,https://www.sciencedirect.com/science/article/pii/S2452074821000383
